  -0.92362	  -1.27090	  -1.15340	  -1.70650	  -4.13130	  -3.93790	  -1.86220	  -1.36380
  -0.51291	  -0.86655	  -0.74327	  -1.33530	  -3.26140	  -2.93670	  -1.34720	   0.34972
  -0.23184	  -0.00266	  -0.10144	  -1.24300	  -2.20680	  -2.33780	  -1.06540	   1.37710
   0.62240	   0.27935	  -0.06669	  -1.06680	  -2.17020	  -2.33620	   0.95552	       nan
   0.68394	   0.73225	   1.50280	  -0.73734	  -2.12830	  -1.99760	   1.11630	       nan
   0.86474	   1.46790	   1.72540	  -0.60917	  -2.11550	  -1.95780	   1.13310	       nan
       nan	   2.36810	       nan	  -0.14668	  -2.03910	  -1.09630	       nan	       nan
       nan	       nan	       nan	   0.13083	  -1.96790	  -1.00800	       nan	       nan
       nan	       nan	       nan	   1.26350	  -1.90870	  -0.66907	       nan	       nan
       nan	       nan	       nan	       nan	  -1.75110	  -0.56472	       nan	       nan
       nan	       nan	       nan	       nan	  -1.67240	  -0.21020	       nan	       nan
       nan	       nan	       nan	       nan	  -1.64470	  -0.18578	       nan	       nan
       nan	       nan	       nan	       nan	  -1.38220	  -0.02968	       nan	       nan
       nan	       nan	       nan	       nan	  -1.03260	       nan	       nan	       nan
       nan	       nan	       nan	       nan	  -0.67352	       nan	       nan	       nan
       nan	       nan	       nan	       nan	  -0.58831	       nan	       nan	       nan
       nan	       nan	       nan	       nan	  -0.17387	       nan	       nan	       nan
       nan	       nan	       nan	       nan	   0.17294	       nan	       nan	       nan
       nan	       nan	       nan	       nan	   0.28273	       nan	       nan	       nan
