  -0.58733	  -0.95560	  -1.15840	  -2.84900	  -5.22210	  -5.62990	  -5.89170	   0.44079
   0.05611	  -0.53777	  -1.10420	  -2.42900	  -4.82560	  -4.93200	  -5.55590	   0.47126
   0.16926	  -0.36262	  -1.05020	  -2.23050	  -3.84520	  -4.81150	  -5.10210	   1.03820
   0.28960	   0.00482	  -0.59599	  -1.94620	  -3.76300	  -4.74360	  -4.99670	   1.07780
   0.76442	   0.23065	  -0.49506	  -1.81610	  -3.34420	  -4.73820	  -3.39960	   1.33160
   1.02240	   0.34147	  -0.30818	  -1.77860	  -3.26710	  -4.71630	  -1.63980	   1.58840
   1.04090	   0.35763	  -0.20068	  -1.67110	  -3.17550	  -4.52500	  -1.59820	   1.75010
   1.24340	   0.98865	  -0.13373	  -1.44680	  -2.91040	  -4.51150	  -1.13360	   1.77670
   1.28890	   1.52660	   0.12346	  -1.43710	  -2.90130	  -4.47250	  -0.82738	   2.16960
   1.65970	   3.25040	   0.16291	  -1.30690	  -2.75610	  -4.46250	  -0.40665	   2.21560
   1.67490	       nan	   0.53769	  -0.53932	  -2.59530	  -4.44000	  -0.39224	   2.23840
   1.72220	       nan	   1.39360	       nan	  -2.31570	  -3.57150	  -0.30525	   2.45130
   1.75810	       nan	       nan	       nan	  -2.11820	  -3.54730	  -0.19768	   2.58180
   2.03520	       nan	       nan	       nan	  -1.77780	  -3.41860	   0.43006	   3.14400
   2.24010	       nan	       nan	       nan	       nan	  -3.04260	   0.98862	   3.48500
   2.38240	       nan	       nan	       nan	       nan	  -2.98040	   1.38890	   4.26080
   2.69450	       nan	       nan	       nan	       nan	  -2.91010	   1.51440	   4.96700
   3.04570	       nan	       nan	       nan	       nan	  -2.03890	   2.31750	       nan
   3.15350	       nan	       nan	       nan	       nan	  -1.62300	   2.44200	       nan
   3.66120	       nan	       nan	       nan	       nan	       nan	   2.75390	       nan
   3.68820	       nan	       nan	       nan	       nan	       nan	   3.71750	       nan
   4.36520	       nan	       nan	       nan	       nan	       nan	       nan	       nan
