start 2017 4 20 0 0 0
DD 2017 5 4 0 0 0
LP1 2017 5 26 14 30 0
LP2 2017 6 22 18 0 0
LP3 2017 7 13 11 0 0
LP4 2017 8 3 22 0 0
LP5 2017 8 24 17 30 0
LP6 2017 9 15 7 0 0
